% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 44.83   20.331045          72    281026     45739 futex
 21.68    9.830399       41304       238           wait4
 17.20    7.797780       33466       233           clock_nanosleep
  8.21    3.723024         130     28511         3 poll
  3.18    1.439964           7    197920           read
  1.45    0.657673           3    192911      1678 openat
  1.09    0.494406          12     40718           brk
  0.97    0.442107           2    196611           close
  0.38    0.173937           7     22859           write
  0.30    0.135101           2     67338           fstat
  0.17    0.075451         321       235           vfork
  0.13    0.059308          33      1797           madvise
  0.11    0.047787          27      1750           getdents64
  0.08    0.034579           3     10277           mmap
  0.06    0.028165         159       177        21 restart_syscall
  0.03    0.015531           4      3270           munmap
  0.03    0.015512          16       938       702 execve
  0.03    0.011422           0     19552           rt_sigaction
  0.02    0.009822           5      1933           mprotect
  0.01    0.004852           2      1673        12 newfstatat
  0.01    0.004362           1      2487      2246 ioctl
  0.01    0.002867           1      2216       179 stat
  0.01    0.002653           1      1931       471 lseek
  0.01    0.002274           3       708           pipe2
  0.00    0.001365           0      1663           rt_sigprocmask
  0.00    0.001011        1011         1           clone
  0.00    0.000912           1       480           getrandom
  0.00    0.000546           2       236           sched_getaffinity
  0.00    0.000487           2       237           prlimit64
  0.00    0.000465           1       236       236 access
  0.00    0.000410           1       264           getpid
  0.00    0.000395           1       236           arch_prctl
  0.00    0.000390           1       234           geteuid
  0.00    0.000383           1       239           rseq
  0.00    0.000368           1       240           set_robust_list
  0.00    0.000340           1       236           set_tid_address
  0.00    0.000058          19         3           clone3
  0.00    0.000049          49         1           readlinkat
  0.00    0.000028           1        20        13 readlink
  0.00    0.000023           2        10           gettid
  0.00    0.000020           0       469           dup2
  0.00    0.000017           2         7           fcntl
  0.00    0.000004           1         3           uname
  0.00    0.000001           1         1           mbind
  0.00    0.000000           0        40           lstat
  0.00    0.000000           0         2           mremap
  0.00    0.000000           0         1           ftruncate
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           chdir
  0.00    0.000000           0         6           link
  0.00    0.000000           0        13           unlink
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         1           sched_setaffinity
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- ------------------
100.00   45.347293          41   1082192     51300 total
